,Date,Team,Time,Opponent,Rank,Site,TV,Result,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,Year,Month,Day,W/L,Score,Home Score,Away Score,Total Score,"City, State",lat,lng
0,9/6/2014,Boise State,8:15 PM,Colorado State,NR,"Albertsons StadiumBoise, ID",ESPN2,W 37-24,34910,0,1,36387,0.95940858,True,False,0.0,0.0,0.0,89,55,NR,MWC,2014,9,6,W,37-24,37,24,61,"Boise, ID",43.6150186,-116.2023137
1,9/20/2014,Boise State,8:30 PM,Louisiana-Lafayette*,NR,"Albertsons StadiumBoise, ID",CBSSN,W 34-9,33337,2,1,36387,0.916178855,True,False,0.0,0.0,0.0,88,54,NR,MWC,2014,9,20,W,34-9,34,9,43,"Boise, ID",43.6150186,-116.2023137
2,10/17/2014,Boise State,6:00 PM,Fresno State,NR,"Albertsons StadiumBoise, ID",ESPN,W 37-27,35008,4,2,36387,0.96210185,True,False,0.0,0.0,0.0,70,45,NR,MWC,2014,10,17,W,37-27,37,27,64,"Boise, ID",43.6150186,-116.2023137
3,10/24/2014,Boise State,7:00 PM,BYU*,NR,"Albertsons StadiumBoise, ID",ESPN,W 55-30,36752,5,2,36387,1.010031055,True,False,0.03,0.0,0.0,67,48,NR,MWC,2014,10,24,W,55-30,55,30,85,"Boise, ID",43.6150186,-116.2023137
4,11/15/2014,Boise State,8:15 PM,San Diego State,NR,"Albertsons StadiumBoise, ID",ESPNU,W 38-29,27478,7,2,36387,0.75515981,True,False,0.0,0.0,7.1,22,1,NR,MWC,2014,11,15,W,38-29,38,29,67,"Boise, ID",43.6150186,-116.2023137
5,11/29/2014,Boise State,8:15 PM,Utah State,25,"Albertsons StadiumBoise, ID",ESPN2,W 50-19,33940,9,2,36387,0.932750708,True,False,0.0,0.0,0.0,55,29,NR,MWC,2014,11,29,W,50-19,50,19,69,"Boise, ID",43.6150186,-116.2023137
6,12/6/2014,Boise State,8:00 PM,Fresno State,22,"Albertsons StadiumBoise, ID",CBS,W 28-14,26101,10,2,36387,0.717316624,True,False,0.06,0.0,0.0,54,34,NR,MWC,2014,12,6,W,28-14,28,14,42,"Boise, ID",43.6150186,-116.2023137
7,9/4/2015,Boise State,8:15 PM,Washington*,23,"Albertsons StadiumBoise, ID",ESPN,W 16-13,36836,0,0,36387,1.012339572,False,False,0.0,0.0,0.0,74,49,NR,MWC,2015,9,4,W,16-13,16,13,29,"Boise, ID",43.6150186,-116.2023137
8,10/3/2015,Boise State,8:15 PM,Hawaii,NR,"Albertsons StadiumBoise, ID",ESPN2,W 55-0,35907,3,1,36387,0.986808476,False,False,0.0,0.0,0.0,68,48,NR,MWC,2015,10,3,W,55-0,55,0,55,"Boise, ID",43.6150186,-116.2023137
9,10/24/2015,Boise State,8:15 PM,Wyoming,NR,"Albertsons StadiumBoise, ID",ESPN2,W 34-14,31946,5,2,36387,0.877950917,False,False,0.0,0.0,0.0,66,46,NR,MWC,2015,10,24,W,34-14,34,14,48,"Boise, ID",43.6150186,-116.2023137
10,11/14/2015,Boise State,8:15 PM,New Mexico,NR,"Albertsons StadiumBoise, ID",ESPNU,L 24-31,32780,7,2,36387,0.90087119,False,False,0.0,0.0,0.0,64,34,NR,MWC,2015,11,14,L,24-31,24,31,55,"Boise, ID",43.6150186,-116.2023137
11,11/20/2015,Boise State,7:30 PM,Air Force,NR,"Albertsons StadiumBoise, ID",ESPN2,L 30-37,30332,7,3,36387,0.833594416,False,False,0.0,0.0,0.0,43,26,NR,MWC,2015,11,20,L,30-37,30,37,67,"Boise, ID",43.6150186,-116.2023137
12,9/10/2016,Boise State,8:15 PM,Washington State*,NR,"Albertsons StadiumBoise, ID",ESPN2,W 31-28,36163,1,0,36387,0.993843955,False,False,0.0,0.0,0.0,83,50,NR,MWC,2016,9,10,W,31-28,31,28,59,"Boise, ID",43.6150186,-116.2023137
13,10/1/2016,Boise State,8:15 PM,Utah State,24,"Albertsons StadiumBoise, ID",ESPN2,W 21-10,36602,3,0,36387,1.005908704,False,False,0.0,0.0,0.0,73,49,NR,MWC,2016,10,1,W,21-10,21,10,31,"Boise, ID",43.6150186,-116.2023137
14,10/15/2016,Boise State,8:15 PM,Colorado State,15,"Albertsons StadiumBoise, ID",ESPN2,W 28-23,33448,5,0,36387,0.919229395,False,False,0.07,0.0,0.0,68,51,NR,MWC,2016,10,15,W,28-23,28,23,51,"Boise, ID",43.6150186,-116.2023137
15,10/20/2016,Boise State,8:15 PM,BYU*,14,"Albertsons StadiumBoise, ID",ESPN,W 28-27,34575,6,0,36387,0.950201995,False,False,0.0,0.0,0.0,66,43,NR,MWC,2016,10,20,W,28-27,28,27,55,"Boise, ID",43.6150186,-116.2023137
16,11/4/2016,Boise State,8:15 PM,San Jose State,24,"Albertsons StadiumBoise, ID",ESPN2,W 45-31,31863,7,1,36387,0.875669882,False,False,0.0,0.0,0.0,62,38,NR,MWC,2016,11,4,W,45-31,45,31,76,"Boise, ID",43.6150186,-116.2023137
17,11/18/2016,Boise State,7:00 PM,UNLV,22,"Albertsons StadiumBoise, ID",ESPN2,W 42-25,32989,9,1,36387,0.906615,False,False,0.0,0.0,0.0,51,26,NR,MWC,2016,11,18,W,42-25,42,25,67,"Boise, ID",43.6150186,-116.2023137
18,9/2/2017,Boise State,1:45 PM,Troy*,NR,"Albertsons StadiumBoise, ID",ESPNU,W 24-13,31581,0,0,36387,0.867919861,False,False,0.0,0.0,0.0,97,66,NR,MWC,2017,9,2,W,24-13,24,13,37,"Boise, ID",43.6150186,-116.2023137
19,9/14/2017,Boise State,6:00 PM,New Mexico,NR,"Albertsons StadiumBoise, ID",ESPN,W 28-14,28385,1,1,36387,0.780086295,False,False,0.02,0.0,0.0,79,58,NR,MWC,2017,9,14,W,28-14,28,14,42,"Boise, ID",43.6150186,-116.2023137
20,9/22/2017,Boise State,6:00 PM,Virginia*,NR,"Albertsons StadiumBoise, ID",ESPN2,L 23-42,33947,2,1,36387,0.932943084,False,False,0.03,0.0,0.0,52,41,NR,MWC,2017,9,22,L,23-42,23,42,65,"Boise, ID",43.6150186,-116.2023137
21,10/21/2017,Boise State,8:15 PM,Wyoming,NR,"Albertsons StadiumBoise, ID",ESPN2,W 24-14,35565,4,2,36387,0.977409514,False,False,0.16,0.0,0.0,50,33,NR,MWC,2017,10,21,W,24-14,24,14,38,"Boise, ID",43.6150186,-116.2023137
22,11/18/2017,Boise State,8:15 PM,Air Force,NR,"Albertsons StadiumBoise, ID",ESPN2,W 44-19,33030,8,2,36387,0.907741776,False,False,0.0,0.0,0.0,47,30,NR,MWC,2017,11,18,W,44-19,44,19,63,"Boise, ID",43.6150186,-116.2023137
23,9/8/2018,Boise State,8:15 PM,UConn*,20,"Albertsons StadiumBoise, ID",ESPNU,W 62-7,34515,1,0,36387,0.948553055,False,False,0.0,0.0,0.0,85,63,NR,MWC,2018,9,8,W,62-7,62,7,69,"Boise, ID",43.6150186,-116.2023137
24,10/6/2018,Boise State,1:30 PM,San Diego State,NR,"Albertsons StadiumBoise, ID",ESPNU,L 13-19,36619,3,1,36387,1.006375903,False,False,0.08,0.0,0.0,58,46,NR,MWC,2018,10,6,L,13-19,13,19,32,"Boise, ID",43.6150186,-116.2023137
25,10/19/2018,Boise State,7:00 PM,Colorado State,NR,"Albertsons StadiumBoise, ID",ESPN2,W 56-28,32299,4,2,36387,0.887652183,False,False,0.0,0.0,0.0,69,41,NR,MWC,2018,10,19,W,56-28,56,28,84,"Boise, ID",43.6150186,-116.2023137
26,11/3/2018,Boise State,8:15 PM,BYU*,NR,"Albertsons StadiumBoise, ID",ESPN2,W 21-16,35241,6,2,36387,0.968505235,False,False,0.0,0.0,0.0,55,34,NR,MWC,2018,11,3,W,21-16,21,16,37,"Boise, ID",43.6150186,-116.2023137
27,11/9/2018,Boise State,8:15 PM,No. 16 Fresno State,NR,"Albertsons StadiumBoise, ID",ESPN2,W 24-17,33118,7,2,36387,0.910160222,False,False,0.0,0.0,0.0,49,25,16,MWC,2018,11,9,W,24-17,24,17,41,"Boise, ID",43.6150186,-116.2023137
28,11/24/2018,Boise State,8:15 PM,No. 14 Utah State,21,"Albertsons StadiumBoise, ID",ESPN,W 33-24,35960,9,2,36387,0.98826504,False,False,0.02,0.0,0.0,45,29,14,MWC,2018,11,24,W,33-24,33,24,57,"Boise, ID",43.6150186,-116.2023137
29,9/9/2000,Hawaii,6:00 PM,Portland State*,NR,"Aloha StadiumHonolulu, HI",Not on TV,L 20-45,50000,0,0,50000,1.0,False,False,0.0,0.0,0.0,88,76,NR,WAC,2000,9,9,L,20-45,20,45,65,"Honolulu, HI",21.3098845,-157.8581401
30,9/30/2000,Hawaii,6:00 PM,Tulsa,NR,"Aloha StadiumHonolulu, HI",Not on TV,L 14-24,36430,0,2,50000,0.7286,False,False,0.1,0.0,0.0,87,70,NR,WAC,2000,9,30,L,14-24,14,24,38,"Honolulu, HI",21.3098845,-157.8581401
31,10/14/2000,Hawaii,6:00 PM,SMU,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 30-15,36635,0,4,50000,0.7327,False,False,0.15,0.0,0.0,87,74,NR,WAC,2000,10,14,W,30-15,30,15,45,"Honolulu, HI",21.3098845,-157.8581401
32,10/28/2000,Hawaii,6:00 PM,San Jose State,NR,"Aloha StadiumHonolulu, HI",Not on TV,L 48-57,33855,1,5,50000,0.6771,False,False,0.0,0.0,0.0,84,72,NR,WAC,2000,10,28,L,48-57,48,57,105,"Honolulu, HI",21.3098845,-157.8581401
33,11/11/2000,Hawaii,6:00 PM,Nevada,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 37-17,33731,1,7,50000,0.67462,False,False,0.0,0.0,0.0,84,72,NR,WAC,2000,11,11,W,37-17,37,17,54,"Honolulu, HI",21.3098845,-157.8581401
34,11/18/2000,Hawaii,6:00 PM,Louisiana Tech*,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 27-10,31963,2,7,50000,0.63926,False,False,0.14,0.0,0.0,83,70,NR,WAC,2000,11,18,W,27-10,27,10,37,"Honolulu, HI",21.3098845,-157.8581401
35,11/25/2000,Hawaii,6:00 PM,Wisconsin*,NR,"Aloha StadiumHonolulu, HI",Not on TV,L 18-34,41313,3,7,50000,0.82626,False,False,0.0,0.0,0.0,83,73,NR,WAC,2000,11,25,L,18-34,18,34,52,"Honolulu, HI",21.3098845,-157.8581401
36,12/2/2000,Hawaii,6:00 PM,UNLV*,NR,"Aloha StadiumHonolulu, HI",Not on TV,L 32-34,34792,3,8,50000,0.69584,False,False,0.0,0.0,0.0,84,64,NR,WAC,2000,12,2,L,32-34,32,34,66,"Honolulu, HI",21.3098845,-157.8581401
37,9/29/2001,Hawaii,6:05 PM,Rice,NR,"Aloha StadiumHonolulu, HI",Not on TV,L 24-27,35443,1,1,50000,0.70886,False,False,0.0,0.0,0.0,87,73,NR,WAC,2001,9,29,L,24-27,24,27,51,"Honolulu, HI",21.3098845,-157.8581401
38,10/13/2001,Hawaii,6:05 PM,UTEP,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 66-7,34128,2,2,50000,0.68256,False,False,0.0,0.0,0.0,88,75,NR,WAC,2001,10,13,W,66-7,66,7,73,"Honolulu, HI",21.3098845,-157.8581401
39,10/26/2001,Hawaii,4:00 PM,No. 18 Fresno State,NR,"Aloha StadiumHonolulu, HI",ESPN,W 38-34,37900,4,2,50000,0.758,False,False,0.01,0.0,0.0,87,72,18,WAC,2001,10,26,W,38-34,38,34,72,"Honolulu, HI",21.3098845,-157.8581401
40,11/3/2001,Hawaii,6:05 PM,San Jose State,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 34-10,36566,5,2,50000,0.73132,False,False,0.0,0.0,0.0,85,77,NR,WAC,2001,11,3,W,34-10,34,10,44,"Honolulu, HI",21.3098845,-157.8581401
41,11/10/2001,Hawaii,6:05 PM,Boise State,NR,"Aloha StadiumHonolulu, HI",Not on TV,L 21-28,45012,6,2,50000,0.90024,False,False,0.0,0.0,0.0,82,73,NR,WAC,2001,11,10,L,21-28,21,28,49,"Honolulu, HI",21.3098845,-157.8581401
42,11/17/2001,Hawaii,6:05 PM,Miami (OH)*,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 52-51,33148,6,3,50000,0.66296,False,False,0.0,0.0,0.0,82,66,NR,WAC,2001,11,17,W,52-51,52,51,103,"Honolulu, HI",21.3098845,-157.8581401
43,11/23/2001,Hawaii,6:05 PM,Air Force*,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 52-30,41148,7,3,50000,0.82296,False,False,0.0,0.0,0.0,86,68,NR,WAC,2001,11,23,W,52-30,52,30,82,"Honolulu, HI",21.3098845,-157.8581401
44,12/8/2001,Hawaii,11:05 AM,No. 9 BYU*,NR,"Aloha StadiumHonolulu, HI",ESPN2,W 72-45,50000,8,3,50000,1.0,False,False,0.01,0.0,0.0,84,72,9,WAC,2001,12,8,W,72-45,72,45,117,"Honolulu, HI",21.3098845,-157.8581401
45,8/31/2002,Hawaii,6:00 PM,Eastern Illinois*,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 61-36,39958,0,0,50000,0.79916,False,False,0.13,0.0,0.0,90,75,NR,WAC,2002,8,31,W,61-36,61,36,97,"Honolulu, HI",21.3098845,-157.8581401
46,9/28/2002,Hawaii,6:00 PM,SMU,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 42-10,36096,2,1,50000,0.72192,False,False,0.0,0.0,0.0,85,69,NR,WAC,2002,9,28,W,42-10,42,10,52,"Honolulu, HI",21.3098845,-157.8581401
47,10/12/2002,Hawaii,6:00 PM,Nevada,NR,"Aloha StadiumHonolulu, HI",SPW,W 59-34,39616,3,2,50000,0.79232,False,False,0.0,0.0,0.0,84,71,NR,WAC,2002,10,12,W,59-34,59,34,93,"Honolulu, HI",21.3098845,-157.8581401
48,10/19/2002,Hawaii,6:00 PM,Tulsa,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 37-14,34098,4,2,50000,0.68196,False,False,0.0,0.0,0.0,83,76,NR,WAC,2002,10,19,W,37-14,37,14,51,"Honolulu, HI",21.3098845,-157.8581401
49,11/2/2002,Hawaii,6:00 PM,San Jose State,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 40-31,36784,6,2,50000,0.73568,False,False,0.0,0.0,0.0,85,71,NR,WAC,2002,11,2,W,40-31,40,31,71,"Honolulu, HI",21.3098845,-157.8581401
50,11/23/2002,Hawaii,6:00 PM,Cincinnati*,25,"Aloha StadiumHonolulu, HI",Not on TV,W 20-19,36851,8,2,50000,0.73702,False,False,0.0,0.0,0.0,84,70,NR,WAC,2002,11,23,W,20-19,20,19,39,"Honolulu, HI",21.3098845,-157.8581401
51,11/30/2002,Hawaii,2:45 PM,No. 14 Alabama*,24,"Aloha StadiumHonolulu, HI",ESPN,L 16-21,50000,9,2,50000,1.0,False,False,0.0,0.0,0.0,82,103,14,WAC,2002,11,30,L,16-21,16,21,37,"Honolulu, HI",21.3098845,-157.8581401
52,12/7/2002,Hawaii,6:00 PM,San Diego State*,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 41-40,36671,9,3,50000,0.73342,False,False,0.04,0.0,0.0,82,103,NR,WAC,2002,12,7,W,41-40,41,40,81,"Honolulu, HI",21.3098845,-157.8581401
53,12/25/2002,Hawaii,3:00 PM,Tulane*,NR,"Aloha StadiumHonolulu, HI",ESPN,L 28-36,35513,10,3,50000,0.71026,False,False,0.0,0.0,0.0,82,69,NR,WAC,2002,12,25,L,28-36,28,36,64,"Honolulu, HI",21.3098845,-157.8581401
54,8/30/2003,Hawaii,6:00 PM,Appalachian State*,NR,"Aloha StadiumHonolulu, HI",KFVE,W 40-17,42996,0,0,50000,0.85992,False,False,0.0,0.0,0.0,89,75,NR,WAC,2003,8,30,W,40-17,40,17,57,"Honolulu, HI",21.3098845,-157.8581401
55,9/27/2003,Hawaii,6:00 PM,Rice,NR,"Aloha StadiumHonolulu, HI",KFVE,W 41-21,40040,1,2,50000,0.8008,False,False,0.0,0.0,0.0,88,72,NR,WAC,2003,9,27,W,41-21,41,21,62,"Honolulu, HI",21.3098845,-157.8581401
56,10/11/2003,Hawaii,6:00 PM,Fresno State,NR,"Aloha StadiumHonolulu, HI",KFVE,W 55-28,41153,2,3,50000,0.82306,False,False,0.0,0.0,0.0,88,76,NR,WAC,2003,10,11,W,55-28,55,28,83,"Honolulu, HI",21.3098845,-157.8581401
57,10/25/2003,Hawaii,6:00 PM,UTEP,NR,"Aloha StadiumHonolulu, HI",KFVE,W 31-15,40136,4,3,50000,0.80272,False,False,0.0,0.0,0.0,87,73,NR,WAC,2003,10,25,W,31-15,31,15,46,"Honolulu, HI",21.3098845,-157.8581401
58,11/22/2003,Hawaii,6:00 PM,Army*,NR,"Aloha StadiumHonolulu, HI",KFVE,W 59-28,41668,6,4,50000,0.83336,False,False,0.64,0.0,0.0,81,65,NR,WAC,2003,11,22,W,59-28,59,28,87,"Honolulu, HI",21.3098845,-157.8581401
59,11/29/2003,Hawaii,2:45 PM,Alabama*,NR,"Aloha StadiumHonolulu, HI",ESPN,W 37-29,43477,7,4,50000,0.86954,False,False,0.05,0.0,0.0,85,67,NR,WAC,2003,11,29,W,37-29,37,29,66,"Honolulu, HI",21.3098845,-157.8581401
60,12/6/2003,Hawaii,6:30 PM,No. 17 Boise State,NR,"Aloha StadiumHonolulu, HI",ESPN2,L 28-45,39685,8,4,50000,0.7937,False,False,0.32,0.0,0.0,86,73,17,WAC,2003,12,6,L,28-45,28,45,73,"Honolulu, HI",21.3098845,-157.8581401
61,12/25/2003,Hawaii,3:00 PM,Houston*,NR,"Aloha StadiumHonolulu, HI",ESPN,W 54-48,29005,8,5,50000,0.5801,False,False,0.0,0.0,0.0,83,67,NR,WAC,2003,12,25,W,54-48,54,48,102,"Honolulu, HI",21.3098845,-157.8581401
63,10/3/2004,Hawaii,6:00 PM,Tulsa,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 44-16,44429,0,2,50000,0.88858,False,False,0.0,0.0,0.0,89,70,NR,WAC,2004,10,3,W,44-16,44,16,60,"Honolulu, HI",21.3098845,-157.8581401
64,10/10/2004,Hawaii,6:00 PM,Nevada,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 48-26,35078,1,2,50000,0.70156,False,False,0.0,0.0,0.0,90,74,NR,WAC,2004,10,10,W,48-26,48,26,74,"Honolulu, HI",21.3098845,-157.8581401
65,11/6/2004,Hawaii,6:00 PM,Louisiana Tech,NR,"Aloha StadiumHonolulu, HI",ESPNGP,W 34-23,32879,3,4,50000,0.65758,False,False,3.1,0.0,0.0,76,67,NR,WAC,2004,11,6,W,34-23,34,23,57,"Honolulu, HI",21.3098845,-157.8581401
66,11/20/2004,Hawaii,6:00 PM,Idaho*,NR,"Aloha StadiumHonolulu, HI",ESPNGP,W 52-21,30864,4,5,50000,0.61728,False,False,0.0,0.0,0.0,83,63,NR,WAC,2004,11,20,W,52-21,52,21,73,"Honolulu, HI",21.3098845,-157.8581401
67,11/27/2004,Hawaii,6:00 PM,Northwestern*,NR,"Aloha StadiumHonolulu, HI",ESPN2,W 49-41,33846,5,5,50000,0.67692,False,False,0.0,0.0,0.0,85,67,NR,WAC,2004,11,27,W,49-41,49,41,90,"Honolulu, HI",21.3098845,-157.8581401
68,12/4/2004,Hawaii,6:30 PM,Michigan State*,NR,"Aloha StadiumHonolulu, HI",ESPN2,W 41-38,41654,6,5,50000,0.83308,False,False,0.03,0.0,0.0,82,72,NR,WAC,2004,12,4,W,41-38,41,38,79,"Honolulu, HI",21.3098845,-157.8581401
69,12/24/2004,Hawaii,2:00 PM,UAB*,NR,"Aloha StadiumHonolulu, HI",ESPN,W 59-40,39754,7,5,50000,0.79508,False,False,0.04,0.0,0.0,82,68,NR,WAC,2004,12,24,W,59-40,59,40,99,"Honolulu, HI",21.3098845,-157.8581401
70,9/3/2005,Hawaii,1:05 PM,No. 1 USC*,NR,"Aloha StadiumHonolulu, HI",ESPN2,L 17-63,50000,0,0,50000,1.0,False,False,0.0,0.0,0.0,92,77,1,WAC,2005,9,3,L,17-63,17,63,80,"Honolulu, HI",21.3098845,-157.8581401
71,10/1/2005,Hawaii,6:05 PM,Boise State,NR,"Aloha StadiumHonolulu, HI",Not on TV,L 41-44,31695,1,2,50000,0.6339,False,False,0.03,0.0,0.0,87,73,NR,WAC,2005,10,1,L,41-44,41,44,85,"Honolulu, HI",21.3098845,-157.8581401
72,10/15/2005,Hawaii,6:05 PM,New Mexico State,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 49-28,29002,1,4,50000,0.58004,False,False,0.0,0.0,0.0,86,73,NR,WAC,2005,10,15,W,49-28,49,28,77,"Honolulu, HI",21.3098845,-157.8581401
73,10/29/2005,Hawaii,1:05 PM,No. 22 Fresno State,NR,"Aloha StadiumHonolulu, HI",ABC,L 13-27,28196,3,4,50000,0.56392,False,False,0.02,0.0,0.0,86,72,22,WAC,2005,10,29,L,13-27,13,27,40,"Honolulu, HI",21.3098845,-157.8581401
74,11/12/2005,Hawaii,6:05 PM,Utah State,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 50-23,27892,3,6,50000,0.55784,False,False,0.04,0.0,0.0,84,71,NR,WAC,2005,11,12,W,50-23,50,23,73,"Honolulu, HI",21.3098845,-157.8581401
75,11/25/2005,Hawaii,4:05 PM,No. 24 Wisconsin*,NR,"Aloha StadiumHonolulu, HI",ESPN2,L 24-41,34031,4,6,50000,0.68062,False,False,0.35,0.0,0.0,82,69,24,WAC,2005,11,25,L,24-41,24,41,65,"Honolulu, HI",21.3098845,-157.8581401
76,12/3/2005,Hawaii,6:05 PM,San Diego State*,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 49-38,28326,4,7,50000,0.56652,False,False,0.0,0.0,0.0,84,67,NR,WAC,2005,12,3,W,49-38,49,38,87,"Honolulu, HI",21.3098845,-157.8581401
77,9/16/2006,Hawaii,6:00 PM,UNLV*,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 42-13,32008,0,1,50000,0.64016,False,False,0.0,0.0,0.0,88,71,NR,WAC,2006,9,16,W,42-13,42,13,55,"Honolulu, HI",21.3098845,-157.8581401
78,9/30/2006,Hawaii,6:00 PM,Eastern Illinois*,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 44-9,29358,1,2,50000,0.58716,False,False,0.0,0.0,0.0,87,74,NR,WAC,2006,9,30,W,44-9,44,9,53,"Honolulu, HI",21.3098845,-157.8581401
79,10/7/2006,Hawaii,6:00 PM,Nevada,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 41-34,33761,2,2,50000,0.67522,False,False,0.0,0.0,0.0,87,69,NR,WAC,2006,10,7,W,41-34,41,34,75,"Honolulu, HI",21.3098845,-157.8581401
80,10/28/2006,Hawaii,6:00 PM,Idaho,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 68-10,34051,5,2,50000,0.68102,False,False,0.0,0.0,0.0,86,68,NR,WAC,2006,10,28,W,68-10,68,10,78,"Honolulu, HI",21.3098845,-157.8581401
81,11/11/2006,Hawaii,6:00 PM,Louisiana Tech,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 61-10,32083,7,2,50000,0.64166,False,False,0.0,0.0,0.0,85,71,NR,WAC,2006,11,11,W,61-10,61,10,71,"Honolulu, HI",21.3098845,-157.8581401
82,11/18/2006,Hawaii,6:00 PM,San Jose State,NR,"Aloha StadiumHonolulu, HI",Not on TV,W 54-17,33622,8,2,50000,0.67244,False,False,0.0,0.0,0.0,85,73,NR,WAC,2006,11,18,W,54-17,54,17,71,"Honolulu, HI",21.3098845,-157.8581401
83,11/25/2006,Hawaii,6:00 PM,Purdue*,25,"Aloha StadiumHonolulu, HI",Not on TV,W 42-35,47825,9,2,50000,0.9565,False,False,0.0,0.0,0.0,85,66,NR,WAC,2006,11,25,W,42-35,42,35,77,"Honolulu, HI",21.3098845,-157.8581401
84,12/2/2006,Hawaii,7:00 PM,Oregon State*,24,"Aloha StadiumHonolulu, HI",ESPN,L 32-35,50000,10,2,50000,1.0,False,False,0.08,0.0,0.0,82,72,NR,WAC,2006,12,2,L,32-35,32,35,67,"Honolulu, HI",21.3098845,-157.8581401
85,12/24/2006,Hawaii,3:00 PM,Arizona State*,NR,"Aloha StadiumHonolulu, HI",ESPN,W 41-24,43435,10,3,50000,0.8687,False,False,0.0,0.0,0.0,81,62,NR,WAC,2006,12,24,W,41-24,41,24,65,"Honolulu, HI",21.3098845,-157.8581401
86,9/1/2007,Hawaii,6:05 PM,Northern Colorado*,23,"Aloha StadiumHonolulu, HI","Oceanic PPV, KFVE (delayed)",W 63-6,40252,0,0,50000,0.80504,False,False,0.09,0.0,0.0,84,72,NR,WAC,2007,9,1,W,63-6,63,6,69,"Honolulu, HI",21.3098845,-157.8581401
87,9/22/2007,Hawaii,6:05 PM,Charleston Southern*,19,"Aloha StadiumHonolulu, HI","Oceanic PPV, KFVE (delayed)",W 66-10,37723,3,0,50000,0.75446,False,False,0.0,0.0,0.0,86,76,NR,WAC,2007,9,22,W,66-10,66,10,76,"Honolulu, HI",21.3098845,-157.8581401
88,10/6/2007,Hawaii,6:05 PM,Utah State,16,"Aloha StadiumHonolulu, HI","Oceanic PPV, KFVE (delayed)",W 52-37,36360,5,0,50000,0.7272,False,False,0.09,0.0,0.0,86,72,NR,WAC,2007,10,6,W,52-37,52,37,89,"Honolulu, HI",21.3098845,-157.8581401
89,10/27/2007,Hawaii,6:05 PM,New Mexico State,16,"Aloha StadiumHonolulu, HI","Oceanic PPV, KFVE (delayed)",W 50-13,41218,7,0,50000,0.82436,False,False,0.0,0.0,0.0,85,75,NR,WAC,2007,10,27,W,50-13,50,13,63,"Honolulu, HI",21.3098845,-157.8581401
90,11/10/2007,Hawaii,6:05 PM,Fresno State,14,"Aloha StadiumHonolulu, HI","ESPN2 Oceanic PPV, KFVE (Simulcast)",W 37-30,49047,8,0,50000,0.98094,False,False,0.01,0.0,0.0,84,73,NR,WAC,2007,11,10,W,37-30,37,30,67,"Honolulu, HI",21.3098845,-157.8581401
91,11/23/2007,Hawaii,4:05 PM,No. 17 Boise State,14,"Aloha StadiumHonolulu, HI",ESPN2,W 39-27,50000,10,0,50000,1.0,False,False,0.0,0.0,0.0,82,70,17,WAC,2007,11,23,W,39-27,39,27,66,"Honolulu, HI",21.3098845,-157.8581401
92,12/1/2007,Hawaii,6:30 PM,Washington*,11,"Aloha StadiumHonolulu, HI",ESPN2,W 35-28,50000,11,0,50000,1.0,False,False,1.45,0.0,0.0,82,71,NR,WAC,2007,12,1,W,35-28,35,28,63,"Honolulu, HI",21.3098845,-157.8581401
93,9/6/2008,Hawaii,6:05 PM,Weber State*,NR,"Aloha StadiumHonolulu, HI","KJZZ, Oceanic PPV, KFVE (delayed)",W 36-17,39446,0,1,50000,0.78892,True,False,0.05,0.0,0.0,88,71,NR,WAC,2008,9,6,W,36-17,36,17,53,"Honolulu, HI",21.3098845,-157.8581401
94,9/27/2008,Hawaii,6:05 PM,San José State,NR,"Aloha StadiumHonolulu, HI","Oceanic PPV, KFVE (delayed)",L 17-20,40571,1,2,50000,0.81142,True,False,0.01,0.0,0.0,81,78,NR,WAC,2008,9,27,L,17-20,17,20,37,"Honolulu, HI",21.3098845,-157.8581401
95,10/11/2008,Hawaii,6:05 PM,Louisiana Tech,NR,"Aloha StadiumHonolulu, HI","Oceanic PPV, KFVE (delayed)",W 24-14,40246,2,3,50000,0.80492,True,False,0.0,0.0,0.0,86,75,NR,WAC,2008,10,11,W,24-14,24,14,38,"Honolulu, HI",21.3098845,-157.8581401
